unit_name,grams,notes
katori,150,"Standard small bowl, common for dal/curry/sabzi"
katori_small,100,"Smaller bowl variant"
katori_large,200,"Larger bowl variant"
roti,40,"Single whole wheat flatbread, medium size"
roti_large,60,"Large/thick roti"
paratha,60,"Single pan-fried layered flatbread"
plate,300,"Standard full plate serving (e.g. biryani, rice meal)"
cup,150,"Standard rice/liquid cup measure"
glass,200,"Standard beverage glass (milk, lassi, etc.)"
piece,40,"Generic single piece (idli, gulab jamun, etc.) — overridden per food if specified"
tsp,5,"Teaspoon, used for ghee/oil/sugar"
tbsp,15,"Tablespoon"
bowl,250,"Larger serving bowl, e.g. for soup/sambar as a meal"
